week_ending,store,sales,hours,sph,holiday,ssp
2026-09-06,Higham Ferrers,5032,152.5,33.0,9.0,16.0
2026-09-06,Kettering,9134,175.0,52.2,12.0,0
2026-09-06,Leamington Parade,9377,166.0,56.5,0,0
2026-09-06,Lower Heathcote,4464,127.0,35.1,24.0,0
2026-09-06,Market Harborough,11180,201.0,55.6,18.0,0
2026-09-06,Northampton,9885,174.0,56.8,9.0,0
2026-09-06,Northampton Drive-Thru,23819,385.0,61.9,30.0,0
2026-09-06,Olney,5088,115.8,43.9,0,0
2026-09-06,Peterborough Bridge Street,5325,159.5,33.4,45.0,0
2026-09-06,Peterborough Fletton Quays,6730,203.6,33.1,24.0,0
2026-09-06,Rothwell,6556,144.8,45.3,0,24.0
2026-09-06,Rugby,8723,200.0,43.6,48.0,0
2026-09-06,Rushden Lakes,20924,390.4,53.6,24.0,8.0
2026-09-06,Warwick,4465,208.0,21.5,10.0,0
2026-09-06,Wellingborough,6412,192.0,33.4,63.0,0
2026-09-06,Wellingborough Train Station,6210,110.0,56.5,0,0
